p005,p01,p02,p05
-9.590199794769287,-9.428165016174317,-8.630943145751953,-5.555680847167968
-8.679009342193604,-8.549299507141113,-7.428763732910156,-5.174440574645995
-9.21866455078125,-8.558733100891112,-7.872259674072265,-6.162553596496582
-10.587566871643066,-9.264600944519042,-7.981636276245117,-6.290486717224121
-6.981822814941406,-6.2707272720336915,-5.353147048950195,-4.197591400146484
-5.105378360748291,-4.890243606567383,-4.671346817016602,-2.85619945526123
-5.324645309448242,-4.9037228775024415,-4.153770141601562,-3.486991310119629
-8.310290241241455,-7.1171804046630855,-5.476637496948242,-4.343655586242676
-6.085247344970703,-4.9769393157958985,-4.713368148803711,-3.745479393005371
-6.749808731079101,-5.928634872436524,-5.489538879394531,-4.693086624145508
-7.448103561401367,-6.153054962158203,-5.187533187866211,-3.9541809082031247
-3.938786964416504,-3.400706520080566,-2.859337692260742,-2.5801698684692385
-3.761865062713623,-3.6209678649902344,-3.1615219116210938,-2.890958023071289
-4.9677390861511235,-4.383520469665528,-4.005266189575195,-2.783082389831543
-3.992176055908203,-3.841919288635254,-3.532632598876953,-2.6235504150390625
-7.131970691680908,-5.452007446289063,-4.337896881103515,-3.145865821838379
-5.549358634948731,-4.568101921081543,-4.184394836425781,-3.7572269439697266
-6.2930673980712895,-6.109753189086914,-4.8070582580566406,-3.8903333663940427
-7.405164279937744,-6.453838310241699,-5.793730087280274,-4.4877269744873045
-5.401579971313477,-4.790663375854492,-3.8254459381103514,-2.9687557220458984
-3.9566954612731933,-3.482776069641113,-3.0989046478271485,-2.7840576171875
-3.860452346801758,-3.416600646972656,-2.974530258178711,-2.216094970703125
-5.196447143554687,-4.537680969238282,-3.856922149658203,-2.5567039489746093
-5.350826644897461,-4.4261368560791015,-3.616266632080078,-2.6214656829833984
-4.194276504516601,-3.683713798522949,-3.479206085205078,-3.171680450439453
-22.92338607788086,-20.723857345581056,-17.129203338623046,-12.054508781433105
-6.440271968841553,-5.911641273498535,-5.3677293395996095,-3.8158639907836913
-8.884756507873535,-7.851071815490722,-6.55648811340332,-4.840045928955078
-4.660424900054932,-4.2702294540405275,-3.641152114868164,-3.060115242004394
-3.682541809082031,-3.556196746826172,-3.1400111389160155,-2.486787414550781
-3.627608642578125,-3.583972930908203,-3.3981112670898437,-2.3516159057617188
-4.612009048461914,-4.016487121582031,-3.7663728332519533,-2.8202274322509764
-7.777831268310547,-5.631865844726562,-4.196617126464844,-3.086262512207031
-5.626904144287109,-4.797484817504883,-3.844309616088867,-3.025493621826172
-4.236416435241699,-4.176773920059204,-3.97735857963562,-3.795243978500366
-7.776231861114502,-6.595225944519043,-5.488802337646484,-3.9032922744750977
-7.595584163665771,-7.400707702636719,-5.788202285766602,-3.713132858276367
-3.9024940872192384,-3.4265232849121094,-2.753853607177734,-2.309375762939453
-3.6921896743774414,-3.0919968414306642,-2.7040753173828125,-2.232654571533203
-3.8302263259887694,-3.792020797729492,-3.4993576049804687,-2.625905990600586
-4.865726470947266,-4.732463035583496,-3.832069854736328,-3.0510478973388673
-4.960164813995362,-4.465127029418945,-3.812824554443359,-3.349600601196289
-5.7432618331909175,-5.654442253112793,-4.918236999511719,-3.5644302368164062
-6.908329868316651,-5.693583717346192,-4.741461029052735,-3.79150390625
-5.582312831878662,-5.463165550231934,-4.123452911376953,-3.226436424255371
-5.656464748382568,-5.469587707519532,-3.020310516357422,-2.56719970703125
-5.477896404266358,-5.0145824432373045,-4.330878829956054,-3.471115684509277
-5.637428207397461,-4.9970159912109375,-4.426100616455078,-3.3653821945190425
-4.311989459991455,-4.0371361923217775,-3.8143395233154296,-2.8492441177368164
-5.279391918182373,-4.8349456787109375,-4.3541412353515625,-3.8830833435058594
-7.418122825622558,-6.699353485107422,-6.128684692382812,-4.253166389465332
-7.014653720855713,-6.371471214294433,-5.388885955810546,-4.101406669616699
-7.608507137298584,-6.293539657592773,-4.4331590270996095,-3.575469970703125
-6.772018241882324,-6.704442253112793,-6.259262161254883,-4.430410385131835
