intercept,slope
31.246939673621284,-0.07557190755643198
30.610480106458954,-0.06485435384589003
28.92748890766584,-0.04758924382773079
29.629423844526723,-0.06163263114367937
31.245076786598506,-0.050608781501212875
31.939007476545527,-0.04728231160612681
31.917975463155983,-0.048135626786684184
31.59673023586628,-0.04966528626448469
32.7207017855776,-0.06327621354493923
32.50279389806876,-0.07052355330820727
32.569440583152144,-0.07078615900117649
33.48595549608037,-0.056927735531962925
34.22449951106917,-0.05104962808743941
33.75440552348617,-0.0436371381676448
34.47494055551691,-0.06313754185960233
33.852653984567624,-0.06714391292204627
34.053467004303386,-0.07160399284173907
33.56831692101677,-0.07915370299021907
31.906931597141146,-0.08719122767017673
33.92396633108446,-0.08123293318877252
34.91358302024054,-0.06452382312881469
35.44476631724514,-0.05472326182149039
35.37033901141789,-0.04260025335230988
34.81612089685762,-0.037134619374649284
35.69766524469613,-0.0705197293234728
28.8660534879883,-0.050795261971531516
32.98044272859502,-0.055375731044653646
31.795410609986167,-0.08352873248176033
33.5819680469853,-0.06903589614273414
35.34811794515091,-0.06290592628968222
35.260402194158566,-0.044390385879142145
35.70933014695275,-0.04564143287134984
36.333578215587444,-0.05229175317180915
36.33681242582466,-0.07307320167419659
0.3805948808366013,0.04552865535889666
34.28217005858841,-0.07339404729138257
32.56535512541751,-0.0682450100182395
33.86522862816592,-0.04798720557975675
35.20379435296435,-0.04951897468086119
35.225059644860686,-0.0553715998867683
35.19730597363101,-0.05373518341549879
35.699203004821975,-0.06992931386593645
34.885671302340945,-0.06648061877312127
33.707802180255364,-0.06637792448890681
33.81562768205052,-0.06747039286256058
34.24270142269943,-0.06025414617678714
33.41407456258173,-0.04637777625283352
33.624001699959855,-0.050599668103374185
33.27402703493644,-0.03713299624998048
35.546115526435806,-0.08653289012190386
34.217017779190925,-0.0889810544496131
34.085001212700696,-0.08279471492474041
33.51442539571627,-0.06353155902145041
33.94711499011652,-0.06885223397774054
